"","Achillea","Achillea_millefolium","Agrostis_capillaris","Ajuga_pyramidalis","Alchemilla","Anthriscus_sylvestris","Arabidopsis_thaliana","Avenella_flexuosa","Avenula_pubescens","Campanula_rotundifolia","Dactylis_glomerata","Deschampsia_cespitosa_subsp._cespitosa","Dracocephalum_ruyschiana","Festuca_ovina","Festuca_rubra","Galeopsis_tetrahit","Galium_boreale","Galium_verum","Hylotelephium_maximum","Hypericum_maculatum","Hypericum_perforatum","Knautia","Knautia_arvensis","Lathyrus_linifolius","Lathyrus_pratensis","Linaria_vulgaris","Lotus_corniculatus","Poa_pratensis","Potentilla_argentea","Quercus_robur","Rosa","Rubus_idaeus","Rumex_acetosa_var._acetosa","Rumex_acetosella","Salix_caprea","Stellaria_graminea","Veronica_chamaedrys","Viola_canina_subsp._canina","Viola_riviniana","Viscaria_vulgaris"
"11",0,0.00378787878787879,0,0,0,0,0,0,0.00378787878787879,0.0378787878787879,0,0,0,0.568181818181818,0.00378787878787879,0,0,0.113636363636364,0.00378787878787879,0,0,0,0,0.0378787878787879,0,0,0.0378787878787879,0,0,0,0.189393939393939,0,0,0,0,0,0,0,0,0
"12",0,0.028169014084507,0.0028169014084507,0,0,0,0,0,0.0028169014084507,0,0,0,0,0.704225352112676,0,0,0,0.028169014084507,0.028169014084507,0.028169014084507,0.028169014084507,0,0.0028169014084507,0,0,0,0,0.0845070422535211,0,0,0,0,0.0028169014084507,0,0,0,0,0,0.0028169014084507,0.0563380281690141
"13",0,0,0,0,0,0,0,0,0,0,0,0,0.0678733031674208,0.0904977375565611,0.0904977375565611,0,0,0.0452488687782805,0.0226244343891403,0,0.00226244343891403,0,0,0.0678733031674208,0.00226244343891403,0.0226244343891403,0,0,0,0.180995475113122,0.316742081447964,0,0.0226244343891403,0,0,0,0.0226244343891403,0.0226244343891403,0,0.0226244343891403
"14",0,0,0,0,0,0,0,0.0225733634311512,0,0,0,0,0.158013544018059,0.564334085778781,0.0451467268623025,0,0,0,0.0451467268623025,0,0.00225733634311512,0,0,0,0,0.00225733634311512,0,0,0,0,0,0,0,0.00225733634311512,0,0,0,0,0,0.158013544018059
"15",0,0,0,0,0,0,0,0.0826446280991736,0,0.00413223140495868,0,0,0,0.12396694214876,0.413223140495868,0,0,0,0.289256198347107,0,0,0,0,0,0,0.00413223140495868,0,0,0,0,0,0.0826446280991736,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0.88135593220339,0,0,0,0.0508474576271186,0.0169491525423729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508474576271186
"17",0,0.0285306704707561,0.014265335235378,0,0,0,0,0.014265335235378,0.014265335235378,0,0,0,0.21398002853067,0.399429386590585,0,0,0,0.0570613409415121,0.0855920114122682,0,0,0,0,0,0,0,0,0,0,0.0713266761768902,0,0,0,0,0,0.0014265335235378,0,0,0,0.0998573466476462
"18",0,0,0,0,0,0,0,0.0359712230215827,0,0,0,0,0.0239808153477218,0.839328537170264,0.00119904076738609,0,0.0359712230215827,0.0119904076738609,0.0239808153477218,0,0,0,0,0.0239808153477218,0,0.00119904076738609,0,0,0,0.00119904076738609,0,0,0,0,0,0,0,0.00119904076738609,0,0
"19",0,0.00155763239875389,0,0,0,0,0,0.0155763239875389,0,0,0,0,0,0.903426791277259,0.0311526479750779,0,0,0,0.0311526479750779,0,0.00155763239875389,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155763239875389,0,0,0,0,0
"20",0,0,0.0021978021978022,0,0.021978021978022,0,0,0.153846153846154,0,0,0,0,0,0.307692307692308,0.0879120879120879,0,0.043956043956044,0.0879120879120879,0.0021978021978022,0.021978021978022,0.0021978021978022,0,0.021978021978022,0.175824175824176,0,0.021978021978022,0,0,0,0,0,0,0,0,0,0,0.0021978021978022,0.043956043956044,0,0.0021978021978022
